LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,1029.6067932314188,1062.7324953585187,1099.1575590597784,1144.1582632192926,1205.2841804339223,1281.3074335630895,1394.4175458951229,1539.9418848061564,1727.4503997256954,1982.9690860763494,2307.511355992512,2708.7510311384103,3180.2949482800514,4026.5446438824356,4929.00681918787,5804.786787708385,6681.776935261372,7560.291642069747,8423.77316684496,9316.296759709223,10170.332060298977,10970.923022591238,11668.335438631057,12228.0744803689,12673.672862378973,13074.363264115356,13438.036737793427,13828.441451329054,13954.306177598972,1.5104432182678125
E06000002,921.0706811016034,949.9556282901752,981.7541539239704,1021.1629928637313,1074.5855036209814,1141.2374544091736,1240.8232990122826,1369.0919665589827,1534.4550363544345,1759.035388926392,2044.2292828534337,2396.6137833263842,2810.319384723441,3553.6184540452423,4347.326034697807,5116.6318946297515,5886.10373574418,6655.9806204721335,7411.647926645336,8196.114100017005,8946.600034485953,9650.03989546299,10262.718612141474,10754.308992712551,11146.651437984456,11499.541820939012,11819.906819282445,12163.79828296715,12275.109731532804,0.44022545220388387
E06000003,592.5614888019292,617.8671077017515,645.3901502280869,678.3559964655855,724.0235096895279,779.0756627368536,857.4979564799695,957.2070389049022,1084.9313905267184,1265.3274096149805,1494.8873113315271,1780.4437102539605,2119.549463864062,2721.051571622512,3353.9115150429648,3975.8468406455,4606.116988931367,5245.25735117153,5882.083551510143,6512.124492172156,7116.25723235063,7683.252294608186,8178.037587205843,8576.321768160533,8885.079804989373,9161.977245908578,9412.658832517169,9681.948925188715,9765.060535760815,0.7094326125606578
E06000004,1669.5635393275586,1717.0232776635748,1769.5164837700374,1835.4198302418292,1924.2604967858956,2036.4664822737316,2206.8090314878496,2427.1195103803543,2711.703484471971,3093.114345161103,3577.110748405897,4173.751193150417,4871.445809505647,6130.464271428559,7481.453804889047,8784.761760059728,10082.433525395698,11374.618907071217,12636.093216130948,13968.431011873337,15242.138406218608,16435.57939062681,17474.488064537414,18307.299394525915,18978.687204298767,19583.241701976276,20132.660144244823,20722.27191926463,20916.470617058167,0.6130533192458739
E06000005,857.3441740492809,881.3442841129296,907.9131013654148,941.3553498331418,986.652561019916,1043.92725717735,1130.9726811048145,1243.5735854646837,1389.025048446099,1583.529215233307,1830.307885755511,2134.4240181609384,2489.8741177593447,3131.525368509017,3820.234755055051,4484.230775669866,5144.951569907137,5802.445977762567,6443.818549280948,7123.25393066006,7772.8234386061,8381.559892943862,8911.598383908271,9336.626757224489,9679.88744297642,9989.132760019214,10270.313397100206,10572.041859958672,10672.155279799106,0.21366682871232892
E06000006,638.7480845303927,669.7812637876583,703.4287781793371,743.5069325679118,789.5144675104997,845.6242536962244,926.4695405480383,1029.3622585194291,1161.0094487232732,1341.6928492448844,1571.0185099485184,1855.018491546249,2190.137520023116,2786.6050943609066,3419.6098344317097,4038.417459366699,4662.16697560622,5291.022901317827,5913.316877558248,6540.747728142587,7141.447110313956,7705.20856664143,8197.12814478931,8592.877883649577,8905.570041063398,9186.722129804657,9441.845068684313,9715.656603638125,9803.956871553002,0.3859328705410963
E06000007,1056.1216474318107,1105.377035918351,1158.9069415512863,1223.0433386681832,1296.6611862669488,1386.691892185817,1516.959249490119,1682.8822952777807,1895.237182432678,2187.510612885516,2558.3562733615618,3017.358450331911,3558.518246326214,4522.387286079051,5542.927478594768,6538.38265181516,7539.7018206207185,8547.071572390898,9541.578472954081,10554.490048086294,11524.449885035596,12435.127449727894,13230.194414932384,13870.32857438754,14375.207987502758,14829.209015858614,15241.208994339633,15683.35894375702,15826.219740970126,0.6998374282884618
E06000008,761.15955190289,799.6878215017352,841.4220648728199,890.702859343476,936.5899952179452,994.1149895140167,1080.207496964775,1191.028550904898,1333.6942890072605,1525.72395620366,1769.2546857228483,2069.6568806851988,2421.6017744031083,3053.786588952781,3730.4080288984846,4385.517997110299,5039.908845462084,5693.5823485851815,6333.821956918284,7002.423327233672,7641.932925240176,8241.770817494866,8764.706517427505,9184.778662466366,9521.33169953531,9824.37818494214,10099.756501244856,10395.22799428412,10492.641414505217,0.4743556029755109
E06000009,898.8277582989014,939.5337668211988,983.8753698043786,1037.6497606328742,1109.144840927733,1195.490139409972,1317.1609569137063,1470.7142391203895,1665.915521301555,1934.1429697059514,2274.0756694036,2695.20881587316,3193.220050832104,4073.177475907787,4995.50240779799,5898.75998864491,6810.3793527954,7730.28941711552,8641.103358984552,9568.704114658649,10459.769258905057,11300.120784905423,12038.408124756792,12638.268617333752,13111.607008442743,13539.623185145956,13930.209334295165,14349.096645528902,14495.625011088901,0.8395645741395394
E06000010,1629.6525104701886,1719.7426661226484,1817.015020621598,1932.3503262241625,2084.8589251636704,2265.8779594153184,2515.417811814435,2828.5654690874658,3225.833638197924,3755.1788763404475,4426.906149872156,5260.487299164194,6248.295450429541,7994.037907688167,9828.62969993825,11631.063867624513,13456.077069073808,15304.149864182056,17141.515595218912,18948.92918915902,20676.851606269647,22296.159740509946,23706.152408203103,24836.844538281868,25730.13570009633,26531.589132636847,27257.18905344226,28035.99468192893,28279.310930229352,0.9998733222622282
