LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,1744.5897547720292,1765.216662476052,1785.7314113885195,1806.1407079924395,1829.3542218472087,1852.5405534510035,1875.6952314176078,1913.0043390432202,1937.6594388016413,1962.3050569506001,1986.918235292321,2011.4976488098962,2036.0446225198543,2060.555595985569,2085.495851711833,2110.417807240191,2135.360068294668,2160.286203161876,2185.193974844143,2209.7830752039144,2234.3390118058223,2258.8329069449187,2283.2891659095208,2307.716794836476,2332.0387616304615,2356.3298612832523,2380.589308871887,2404.8215738824606,2429.019949942001,1.5104432182678125
E06000002,1559.5720674166096,1577.8676862261998,1596.0597534550195,1614.1533291037597,1634.8688509411136,1655.558855254296,1676.2198223132973,1709.5286518711157,1731.5291008741538,1753.519925777446,1775.481768065937,1797.411878144957,1819.312730338668,1841.1801450972828,1863.4393623738913,1885.6816418570297,1907.9401498585005,1930.1848552472425,1952.4120176621184,1974.348793019928,1996.255705312032,2018.105748272547,2039.9213083921181,2061.7107458071214,2083.404595823621,2105.0691333154314,2126.7056779221048,2148.316099824211,2169.8955039760026,0.44022545220388387
E06000003,1012.8482742362495,1026.0194696448282,1039.1595252586667,1052.2713025065846,1066.0516416287514,1079.8226231238154,1093.5828033884977,1115.603282866473,1130.254309279209,1144.9017478349929,1159.5376803670113,1174.161397459887,1188.7729078647424,1203.3707834573802,1218.1540169447653,1232.9321834078735,1247.7266445709217,1262.518162349942,1277.303902127913,1291.9522302766231,1306.587647985864,1321.1923778015619,1335.7820451793336,1350.3616511785533,1364.892653073037,1379.4121602982075,1393.9201780022681,1408.418134324402,1422.9031693810741,0.7094326125606578
E06000004,2829.3470762577513,2861.5700610894924,2893.5779251579856,2925.3803893038717,2962.7092089267053,2999.986160056799,3037.2040144978246,3097.33245398153,3136.964124255471,3176.5765636732735,3216.1304277911163,3255.6204356232406,3295.0518679470324,3334.4165576110436,3374.5481421401837,3414.644500817414,3454.766143835727,3494.857865572387,3534.913448265362,3574.400306802993,3613.8278489112417,3653.1476413021055,3692.3990137526084,3731.5977384975354,3770.6120269336516,3809.567433311182,3848.4667310559125,3887.3134236631963,3926.0981500066996,0.6130533192458739
E06000005,1464.1845500407987,1480.7556900769373,1497.2126688808426,1513.5604029732003,1532.8423038198732,1552.096496957653,1571.3192874430536,1602.39389814907,1622.8635755576584,1643.3228717436732,1663.7511472931371,1684.145333157107,1704.5084983845263,1724.8361084705368,1745.571758305537,1766.2885535909054,1787.0177308136463,1807.7309390807552,1828.4248956764616,1848.8160210465558,1869.175773976157,1889.47890283309,1909.745911077844,1929.9848447038194,1950.1263697374777,1970.2365072247005,1990.316906076344,2010.3692000973235,2030.3886562218954,0.21366682871232892
E06000006,1601.1929292387958,1621.2085170659764,1641.1519919664847,1661.028430744519,1682.0866886099457,1703.111435960022,1724.0994125956524,1758.0878389322306,1780.437309703745,1802.774391629959,1825.074913436872,1847.3349934601201,1869.5581274311967,1891.7394314907863,1914.5052268685472,1937.2507575308205,1960.010571445327,1982.7537190718183,2005.4760832566365,2027.8171492840318,2050.123253915093,2072.366639895421,2094.569957577881,2116.7417592894126,2138.7871515587594,2160.7973443408846,2182.77380356544,2204.7185989770846,2226.6261526525914,0.3859328705410963
E06000007,3506.787205249083,3550.8005647210703,3594.6602608297453,3638.3786416147987,3684.511556894473,3730.5715669493397,3776.5507198824625,3851.007283720826,3899.969209221418,3948.9044329760545,3997.7589495597517,4046.526046622883,4095.211737161223,4143.806244646311,4193.646828042764,4243.442453647403,4293.26876321428,4343.057997724612,4392.800951036816,4441.723417932263,4490.569056763052,4539.277084721991,4587.89718257879,4636.44750129763,4684.7228645585565,4732.920702335278,4781.044299054659,4829.098113566218,4877.070495081405,0.6998374282884618
E06000008,1500.2908610071665,1517.2578869308,1534.1081106376396,1550.8458894078506,1570.7771089159198,1590.6844750407317,1610.5646188373355,1642.5985086384592,1663.7674562662821,1684.927375352586,1706.0604984226247,1727.1635925676944,1748.2396227112317,1769.2839826820527,1790.7356449193467,1812.172209478673,1833.6258294939346,1855.0676983685757,1876.4945232337407,1897.6243660147352,1918.7270425730678,1939.776241629123,1960.79314424017,1981.7859142336054,2002.6822671960301,2023.5515274689446,2044.3950779143202,2065.214294996004,2086.0043093037702,0.4743556029755109
E06000009,2234.391970677746,2259.601296290576,2284.634313342837,2309.4982980608374,2338.7996614080234,2368.055408413348,2397.260501689366,2444.5425396660403,2475.642250331033,2506.7251697045435,2537.7577152036047,2568.7348494407734,2599.6610500937777,2630.5298805008824,2662.170550606479,2693.782675516555,2725.414390266694,2757.0220374990417,2788.6011395358682,2819.6087779525637,2850.5666022045275,2881.435992321348,2912.248292047127,2943.0158149956187,2973.6064696738254,3004.147310187299,3034.640015665189,3065.0868249463592,3095.4807416593594,0.8395645741395394
E06000010,3989.139959974271,4039.3312585491494,4089.3516059095564,4139.214313778886,4191.851979891755,4244.410921174268,4296.882255778548,4381.760492724594,4437.6348913110105,4493.481024267884,4549.240550419846,4604.9035880456995,4660.479566387573,4715.955341455596,4772.742406907508,4829.480370595816,4886.254481888222,4942.987825870648,4999.670615737079,5055.370800840352,5110.98328435021,5166.440128115635,5221.797316001462,5277.075684141749,5332.068943760886,5386.974596701791,5441.797810064596,5496.541751202793,5551.194370915016,0.9998733222622282
