LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053243556880876404,-0.0843075562017274,-0.161179918428573,-0.2683914123745192,-0.42884646358104905,-0.6432688547782552,-0.940549771441518,-1.3220747169164357,-1.8115368910010199,-2.4215679555144396,-3.1757353036997733,-4.0904195485356585,-5.176616966866633,-6.324154585921879,-7.6439936656908944,-9.138369626650533,-10.796099133629173,-12.582495909003987,1.5104432182678125
E06000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08257047317214553,-0.13097972085798829,-0.2501321411016718,-0.4160432227863766,-0.6648000481513259,-0.9961273466884206,-1.4564538699504723,-2.046549753277895,-2.805142394819362,-3.749779952460285,-4.9188599144611285,-6.335211070526204,-8.01720739006522,-9.793931393278896,-11.838335695479655,-14.152400792800528,-16.719513617640622,-19.486698749651723,0.44022545220388387
E06000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07768597986298251,-0.12358742005635356,-0.23587296675977218,-0.3919502299692699,-0.626414137296502,-0.9385640244867164,-1.3721885152268054,-1.927985691052086,-2.6426767014174195,-3.532518076276361,-4.634213428368153,-5.968271732457694,-7.553029844293217,-9.226771677965766,-11.152635784153565,-13.332742202436238,-15.751541251628423,-18.35820210369972,0.7094326125606578
E06000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12414763386762055,-0.1966162009793448,-0.3755085833066298,-0.6249555095625945,-0.9985502780588816,-1.4963224683477474,-2.1880221083128877,-3.0746540973313525,-4.214154132273513,-5.633422683490675,-7.389280405799029,-9.517410434303137,-12.04415015899937,-14.713351013405754,-17.784741806273377,-21.261209120037968,-25.117402148960984,-29.2746913829709,0.6130533192458739
E06000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06694687566077691,-0.10602206067965506,-0.20253485566893262,-0.3370545015335267,-0.5385210230588976,-0.8069344202450456,-1.179889316252959,-1.658011605625678,-2.272576542321402,-3.037917093432312,-3.984866073316085,-5.132442013353477,-6.495023198465957,-7.934457646700823,-9.590790129582997,-11.465486103027269,-13.545037055370118,-15.786979344219457,0.21366682871232892
E06000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10585778425047575,-0.16766395850860993,-0.32045022057062145,-0.533070448127531,-0.8518015994905815,-1.2762426931210098,-1.8659470592157401,-2.6224107247631223,-3.594414030097139,-4.805074182168146,-6.302843181518338,-8.117609214355788,-10.2729029162437,-12.549571171254895,-15.169195277103167,-18.134401563646186,-21.42377684447294,-24.96964862512354,0.3859328705410963
E06000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19479771661650225,-0.308651969590681,-0.5898322053059686,-0.9814473288389155,-1.5679364375338067,-2.3492187422521194,-3.4351091153681472,-4.827627247181833,-6.617132330625647,-8.845877854040712,-11.602820749217042,-14.943528704766953,-18.91150524825806,-23.10252186046811,-27.925406336182288,-33.383726057054915,-39.43919581937107,-45.966670728799734,0.6998374282884618
E06000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0682326773492741,-0.10792829358815338,-0.20655050339705908,-0.3437005563899915,-0.5490920076183824,-0.8226450293895952,-1.2028874631589648,-1.6903031621664149,-2.3168548782427543,-3.0970871313737027,-4.06248832470186,-5.232454828915809,-6.621477381792919,-8.089111522725922,-9.777507771758254,-11.689240302003393,-13.809246060103362,-16.094690816309395,0.4743556029755109
E06000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07304211795013993,-0.11585991123125645,-0.22164504757283843,-0.36856884804725787,-0.5893743310459567,-0.8832219319947956,-1.2904107504524722,-1.814299044715545,-2.4867902686013164,-3.323836149018437,-4.359858833506628,-5.61500787184524,-7.106074555517063,-8.681097696602839,-10.492878047595964,-12.544773866793,-14.819154298137011,-17.272361983772747,0.8395645741395394
E06000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1567566297798419,-0.2484577164839988,-0.4745320313338081,-0.7900450375380165,-1.2617672792697558,-1.8913409392859588,-2.765110173791878,-3.8854322933196306,-5.325434645863515,-7.1190024401712275,-9.337905587027214,-12.027173538405084,-15.219786544912633,-18.59344441429638,-22.474709480804083,-26.86820145031763,-31.740940072229215,-36.994699722490644,0.9998733222622282
