LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,544.0899714838089,669.2607863047739,818.6916102566818,958.7197205347343,1167.3408235189952,1494.324024731602,1808.0986221543894,2258.002535689931,2763.6294248583363,3243.5030326329766,3825.4514874847932,4440.393928826764,5101.541565945462,5819.745479743193,6684.082188317747,7601.463815132432,8623.046287576883,9791.602874539565,11071.090494022834,12331.739710367703,13516.103486921578,14676.417634043612,15817.573197719517,16949.64343889636,17948.97184726126,19013.377508872167,20472.14965643494,22097.464932020102,23852.866923310467,1.5104432182678125
E06000002,477.1132369021304,586.8189780774634,717.7783834290716,840.4762351159889,1023.7740008628829,1311.0621088500582,1586.9832919934763,1982.649259132382,2427.5729275254394,2849.367614561093,3360.9198380344105,3901.556032689926,4482.892010933607,5114.471690728982,5874.177493681094,6680.529463975645,7578.48996767046,8605.655489432373,9730.354301831769,10838.24481919505,11879.071818624807,12898.745701434887,13901.565113225774,14896.385769358072,15774.57295695618,16709.944025961704,17991.892379120705,19420.190309411002,20962.797852632313,0.44022545220388387
E06000003,393.38442427272514,484.3324463487735,592.9809847390881,694.9564698738815,842.7657407741222,1074.4683925699492,1294.8129750748956,1610.4305249361817,1963.0276772510908,2301.590997001056,2711.8637325178647,3144.721341568734,3609.455486965655,4113.6533939959545,4723.6503752745775,5370.89217196424,6091.4994355821655,6915.642306629086,7817.813707146725,8708.796259416897,9546.05278895885,10366.462050233762,11173.47298838043,11974.198438003748,12680.88819408217,13433.64201848784,14465.135605433885,15614.432896909384,16855.79534908646,0.7094326125606578
E06000004,800.8155314251568,985.0819027633449,1205.0678007713836,1411.2231044888701,1722.2509879119175,2209.70235606421,2679.768366067225,3354.1406598607296,4114.474745764025,4831.432151249748,5701.233332857039,6621.093261840847,7610.782475906264,8686.584093608604,9977.596552293931,11348.018273199976,12874.243661175084,14620.17448887019,16532.0408326675,18413.336750063943,20180.502522475683,21911.549636331976,23613.787908071485,25302.26552876989,26793.152434961146,28381.07314867349,30557.52622518986,32982.40187071144,35601.26225590329,0.6130533192458739
E06000005,405.14870647903734,498.96523017379224,611.064461586312,716.3323505966517,875.095955505409,1123.9061225054575,1364.3544840382237,1709.3919251999941,2098.949472764481,2465.130176103597,2909.432360332948,3379.4323603436055,3885.2333113773007,4435.164091816886,5094.309666433591,5793.995835121181,6573.2271831187445,7464.629532321247,8440.748620266088,9400.71467797974,10302.306145132754,11185.357998131334,12053.60588972194,12914.73474415603,13675.419878727509,14485.596313296583,15596.114107745594,16833.36989871755,18169.571967610267,0.21366682871232892
E06000006,398.0133573038243,491.05910478354633,602.3802587785004,707.2369316819997,867.1894556510312,1117.8323715489048,1361.8924247053048,1712.407722236481,2110.0793717802753,2477.50464835368,2923.2241777147683,3394.519483734816,3901.5184467041136,4452.558480956382,5107.538175760047,5801.4545810925165,6573.183527836847,7455.0350983300295,8419.232367433977,9365.373956418254,10251.212526573543,11116.574644070764,11965.259528100418,12804.96387719629,13553.331975791723,14350.034060138063,15443.391617032254,16661.175903099112,17975.71330310813,0.3859328705410963
E06000007,659.7464100979641,819.4548027192905,1011.411293566837,1194.1846696583857,1459.7176996679827,1875.8461326432416,2278.484417957055,2856.339509011152,3509.2732588190306,4122.79759357454,4867.384485394904,5655.419171160162,6503.843895518231,7426.65215624108,8528.301509876721,9697.29138267158,10998.8468952952,12487.464004687925,14117.10254164586,15718.837415297066,17222.24724250667,18693.98656092533,20140.326972347797,21574.133060684257,22836.44628365032,24180.37598961678,26024.39756800302,28078.3611960303,30295.670524663805,0.6998374282884618
E06000008,447.8450582180893,541.1744774968112,651.0101965018043,750.3909876574774,908.5279288202014,1156.4348133511705,1391.3150322964527,1727.6090426690423,2102.372829580291,2464.733087726506,2903.811770599798,3366.991675430019,3864.213502956425,4403.591408498254,5054.662278588011,5745.101527907382,6513.495083808165,7392.0146455662425,8353.29329847827,9302.134359923886,10192.9905928942,11065.294019711202,11922.748843144103,12772.963356301783,13519.686826888586,14314.65196629852,15405.574777132546,16620.66094444776,17932.31039831261,0.4743556029755109
E06000009,652.0304755042745,786.9160394049651,945.479283280397,1088.5422061332067,1317.0478955510555,1675.279184996933,2014.1467571048563,2499.239332106657,3039.2447474994865,3558.8686134356462,4187.939516530927,4850.287960796519,5560.116020568565,6328.934685868236,7254.170108282123,8233.245967271003,9321.181168217106,10563.521529557787,11920.602942407255,13258.085839692867,14509.796861100378,15732.142992107925,16930.517035830067,18115.82269724601,19161.20596702614,20273.285925705066,21802.470240317114,23504.867361058754,25341.05637291584,0.8395645741395394
E06000010,1144.7293278416362,1408.308478040549,1723.0112396566471,2017.994517242492,2498.0137886820858,3249.973328582866,3995.479007274261,5068.279416442458,6299.229125646281,7381.1186708158375,8691.549222160218,10072.76895765219,11554.412288207424,13160.590734959906,15045.793030679653,17032.83092736219,19234.496914236595,21742.95005154516,24474.479741337396,27131.344486996113,29595.832793306556,31984.48189343944,34308.94209306363,36591.84132733317,38695.18142820536,40932.20621711336,44010.14433278516,47436.21872870929,51130.63978620355,0.9998733222622282
E06000011,1447.6782828555786,1779.1929251452282,2174.7116029501035,2544.7822943596984,3152.376263684753,4104.162881561359,5048.995311149802,6408.820553360929,7970.345627176372,9337.027041868578,10992.109960378591,12735.93774290059,14605.916775190366,16632.43976347937,19005.974936853327,21505.85991945173,24274.270713649257,27427.0840306936,30858.221461872454,34191.319932673556,37278.803726892686,40267.74319055157,43172.936264578646,46022.958637003394,48650.92229595435,51444.82528411715,55292.991289905345,59575.33259612941,64191.14302664135,1.8184888292115435
E06000012,590.6723039140167,734.9558629625176,908.5726061308627,1074.3326867309788,1319.7897619933774,1704.394212937349,2080.2931100233295,2620.3762295464867,3234.5703129406556,3803.375716400393,4494.128122568874,5226.154249444736,6015.203030474719,6874.343165085311,7900.842075586347,8991.443108697988,10206.803861078137,11597.811574333862,13122.067823457752,14619.293356774304,16026.654702154268,17406.04067933196,18763.226706355086,20110.147126651726,21307.983325907997,22584.564092165336,24331.403479052708,26278.405099539963,28382.56325508599,0.9194266203456104
E06000013,634.5189007670493,780.7891111952852,955.4575513032053,1119.2419899981066,1385.4972101651033,1802.5904415978603,2216.115730883995,2811.1899589900886,3494.0003265056607,4094.378372189783,4821.6202568555755,5588.233019663437,6410.6644660583515,7302.304696837032,8348.676449427938,9451.641550271088,10673.80182773735,12066.312599165549,13582.738251844934,15057.550944109433,16425.656670033604,17751.72932210148,19042.232006980073,20309.72233994615,21475.63961733661,22715.56771922817,24421.93949314375,26321.22077385402,28369.094927336067,0.8768010404386926
E06000014,1082.834841800585,1316.5882419940015,1593.1406148731307,1846.6811367269058,2267.8609677206423,2927.8086543528407,3572.4075546555664,4498.485748595504,5551.216315009706,6501.099640770646,7651.160044492411,8862.292327863404,10160.46760918057,11566.754323329347,13227.93771150499,14979.743959286616,16921.48573244139,19134.443083979993,21545.178572910896,23896.57823506571,26080.914300196244,28200.673662930625,30266.031422197615,32296.872261664543,34126.33436081765,36070.39213367985,38751.432823760486,41734.05337239866,44947.284805876945,1.4223572036839123
