LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E06000001,101.79325480976027,99.90228101330351,99.64006193239813,102.18305736301042,104.8553407912406,108.47792955514691,112.23500830716607,118.31361912620531,124.91754014787058,130.9190179120016,135.29632283502406,141.424568197797,147.42119751077925,148.48218417486873,152.8675522137729,155.89030643648013,159.3133937733462,161.57732232460643,165.07144719510413,172.60902853931472,178.62917172540816,185.74046995506103,193.12147305584193,195.49996658679785,198.71600944618066,201.13370402952927,203.59225962059014,207.27466059038463,209.23218757816753
E06000002,71.96979588417433,70.80505658912195,70.89675671157164,73.13274182170737,75.7473087934573,78.96385980935169,82.4767614548103,87.80071432071678,93.67268504395109,99.28228067208795,103.837415763526,109.60893794581455,115.15998078961681,117.0085044648585,120.96178314216039,123.70560729469906,126.56874985922929,128.47614409826838,131.09113605463372,136.50558448865578,140.73080181181794,145.62026864211524,150.49983195494357,151.81681595282362,153.68938914659995,154.9294709628064,156.14457853823137,158.15876498154776,158.89077292019027
E06000003,73.50765492221177,71.3925233659744,71.24998734409292,73.21550411917711,75.53726251183478,78.44354905589584,81.64839168778059,86.57216441401405,92.02366671193006,97.16123149393405,101.36252017735248,106.7159681139411,111.86608453896676,113.51721252325615,117.06744102094714,119.59003712804207,122.23026399544169,123.96763126523219,126.37851737519044,131.4080895680514,135.38646453966712,139.99637278986586,144.5962655507607,145.81429387662268,147.52940187859122,148.68046592799874,149.80949875173422,151.69548890253904,152.36995807276008
E06000004,117.23692931088824,116.16929103442448,116.43886365546825,120.22263678895565,124.52771570250522,129.8742358491535,135.63154088377334,144.40606401656544,154.04018475746162,163.21358980021682,170.5085251497738,179.88286327835658,188.92507636004288,191.73582946069,198.29088484881242,202.79146780124594,207.5548372126659,210.74202004486543,215.19175556225852,224.44903685319545,231.67833397192794,240.07780516833392,248.53560853072275,250.94006886968077,254.32511511484205,256.63331896189106,258.9183073453543,262.58854648517877,264.0969868732962
E06000005,53.991562832953804,53.56606211004467,53.759374174638836,55.60668687178371,57.76319494326914,60.38459940771941,63.23862662486503,67.52002623878126,72.23483844027622,76.78106790319845,80.47384842906439,85.12094155745658,89.58697880552882,91.13282552646969,94.36473032190375,96.58186225033407,98.8836400739213,100.42785565105157,102.5196104384446,106.82363426621917,110.15166885240494,113.99561086483374,117.82401888277076,118.85746625371775,120.33975260996462,121.30570309929209,122.24890152623415,123.81686771207897,124.37400769045021
E06000006,61.2738975620866,60.779285540585434,61.15569429780403,63.413672266794066,66.03957589047403,69.36887615281546,73.1016950597683,78.54581943779048,84.59978658872974,90.5518873339606,95.64375197486605,101.78361860748464,107.63457157505276,110.08340489143951,114.19408263792323,117.05546385348998,119.90130113588205,121.80860345593474,124.21542976999987,129.0210356150415,132.7048309774807,136.8894144416068,140.91739176343563,141.80477587905776,143.1542816446933,143.89645047972513,144.57432936895444,145.9020749327033,146.06231168859307
E06000007,90.73888841444106,90.71480545570728,91.63958766463263,95.49784403750871,100.1016612612349,105.77792421968965,112.20976029458987,121.3733742167758,131.59238882747405,141.83436564063706,150.77832811935315,161.30744513832425,171.29737912553054,175.92961997390213,183.01051678700068,187.89535915674765,192.6289939316597,195.82519582221812,199.66440152086443,207.19085205557343,212.80539056620944,219.10133391468864,225.0151293657025,226.12560303351643,227.94601857257678,228.75498127473125,229.4217218261828,231.0339039518703,230.81469863372888
E06000008,60.81172124368614,60.296672678812385,60.46246764762527,62.45540470633335,64.73630787272049,67.56673066629018,70.62718946340036,75.27118764152046,80.3765044596342,85.25922595377382,89.16928901978049,94.1586208941258,98.96621840293416,100.5142365052426,104.00094495373963,106.38950598893673,108.90102427424854,110.58256538866758,112.90693919825607,117.71187106748184,121.46918394659396,125.82612531276726,130.19674079079925,131.41662428269052,133.14160618607508,134.30358330873753,135.44765180674017,137.30767125652082,138.03806767756416
E06000009,68.24092800549396,67.65295294873823,67.8446535265001,70.0636226959509,72.62541406650868,75.81575944823894,79.25125768561793,84.42969197891061,90.10486864523584,95.58190807206415,99.9244159043719,105.46722122284113,110.81300872124562,112.5492282605662,116.53632042315488,119.22320691525944,122.04638272323265,123.94799648365873,126.57135592298674,132.04503709151848,136.2187924444242,141.0605613434869,145.93255456721866,147.32623176029028,149.3190782044395,150.64922834473458,151.96398646783712,154.0768906460883,154.9360450602911
E06000010,156.21443499114258,154.71069435346726,155.0398741335555,160.02572149207637,165.48485794334852,172.48228716071708,179.99471540482486,191.46889476532945,204.04918207722545,215.63131159168685,225.0351822180779,237.19671093728954,248.9403558962787,252.46892029989692,260.4068566568696,266.22594649178046,272.425609902765,276.5624769470481,282.39925867174645,294.1801621160947,303.75709321051966,314.90038885580185,326.15347420835315,329.3812861908647,333.8280682703442,336.94828514938973,340.04784919692526,344.9925671785156,347.08713150665056
E06000011,194.9006441260132,192.9848910037884,193.44755713059294,199.7120928303618,206.54032437651927,215.38176826710367,224.91572791119705,239.40971514876523,255.32113976342288,269.99853222900254,282.02189113810465,297.4663819539757,312.36120049519474,316.9997900128421,327.00174647126266,334.3684319864721,342.16952614000274,347.37606265229147,354.65623762985746,369.29301182582196,381.1829601981075,394.99295498992774,408.89387008599164,412.81548307481904,418.23717044021464,422.0015741863764,425.72693946151946,431.7289860225286,434.1750167708722
E06000012,136.52434698360068,133.69635237891333,133.3482196079176,136.7725186740592,140.39031366649579,145.3102494338998,150.47311371401446,158.762724246381,167.80494588689353,175.93576109011696,182.0977408628177,190.5663900027816,198.82511701133637,200.4997973933527,206.21665499231864,210.3333575651691,214.9340863552911,217.96578173349246,222.5722284542431,232.26494026681138,240.2071100447761,249.55876394295828,259.2002822127247,262.2064866768225,266.25397171083364,269.2819680799219,272.35355251951756,277.0176317413468,279.38513676066424
