LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,193.0829274591451,216.01445713333047,243.7482126210644,266.105053449999,276.7498093082618,282.28452974023514,287.9305576404425,293.68880509854597,290.87655079333007,281.7268923295579,256.5755725764443,200.348542101308,76.76089224695619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5103899012568602
E06000002,7.148015934385034,7.996871693708476,9.02370720253436,9.851271332422998,10.245467511959335,10.450350469407466,10.659304734685652,10.872660217682105,10.768403197769112,10.429664020368971,9.498613005907755,7.4171036900257805,2.841788106216342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44022545220388387
E06000003,9.872141438841421,11.044481525123745,12.462734343859209,13.60549012770728,14.150049930918684,14.433052271367606,14.721795437198303,15.016304185949682,14.872355927286192,14.404301718825302,13.118432973740214,10.243935888028432,3.9249534685567777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7094326125606578
E06000004,50.933489070678874,56.98258052919921,64.29851253765429,70.1960707895615,73.0040564303979,74.46410556928424,75.95318228290076,77.47258243671249,76.73041079480983,74.31714218896239,67.68238012753586,52.850025092406526,20.24869021810956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6045494583210979
E06000005,4.628057121927755,5.177673653311659,5.842455498352595,6.378371328629023,6.6335220666450345,6.766160738236237,6.9013807013404405,7.03957907772888,6.972068376619585,6.752857158899993,6.150026310171116,4.802195018612612,1.8398651661138914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19856088561557214
E06000007,0.23108058380741936,0.24887844289065292,0.2704023042282066,0.2877541355844902,0.2960163196659298,0.30031059569111,0.30469530520675264,0.3091638249106956,0.3069795441854362,0.2998807160292839,0.28036026843606476,0.23672004989241152,0.1408000302734918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005004169880862353
E06000008,30.390415443906857,33.32947798024651,36.884030368489434,39.74932013540792,41.113468182339425,41.82299636122952,42.54651195357587,43.28462302961889,42.924083694671054,41.751458117431724,38.528060417921026,31.321665951421675,15.481914514563682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47832738257065605
E06000009,8.815428028465165,9.86236505241717,11.128708285077643,12.149338952373276,12.63544684080007,12.88815577761607,13.145902101876908,13.408685813582585,13.280232433739236,12.86268898553384,11.714164648110946,9.147056035250284,3.504622387316484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27985485804651317
E06000010,41.92997034444413,46.90991788127741,52.9327031324675,57.78751685291889,60.099171681299964,61.30102842078638,62.52707847818679,63.77777433257114,63.167059156811874,61.17960935214645,55.71824768274772,43.50813349121615,16.66969020209989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998733222622282
E06000011,57.49288931196045,64.2534959965785,72.42953795032598,79.01992494560379,81.58703612895172,83.21868139088477,84.88311880406577,86.58113653795081,85.75150221746145,83.05394357229818,75.639950865883,59.06378847382816,22.629377962495816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8177980524054032
