LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,410.70832035225345,860.0944722645421,1726.091274416392,3321.102857713983,6118.699480251089,8568.818891376424,11875.98028474607,15953.76395781392,20770.723171821257,26129.895062730488,32006.410817939886,37632.18050432823,42619.408284021134,46631.97244733327,49647.1245681576,51703.33680349336,53061.52423610792,53747.74531667037,53606.8732599859,53305.18518640918,52804.486255271084,52139.91485108155,51168.593042688786,49838.654663976355,48288.10760485047,46495.36938820393,44437.68808609146,42091.122014011926,39430.54365775028,1.5104432182678125
E06000002,634.0252425778466,1298.4421687748195,2555.235206653601,4841.297189602912,8816.542251887746,12346.962769617714,17112.309450361772,22988.060281257513,29928.901168125572,37651.02667787479,46118.60163945203,54224.872721096435,61411.05703177185,67192.83103357321,71537.4174633528,74500.2501086451,76457.2855755262,77446.07395351419,77243.0887625422,76808.38113878998,76086.91486091849,75129.32294458846,73729.72765561036,71813.39639946775,69579.18533792991,66995.99856923222,64031.04826792648,60649.840271903915,56816.1651139679,0.44022545220388387
E06000003,491.8354239553785,1088.4446926840217,2285.159737068052,4546.57287416097,8581.669810620118,12018.040329637111,16656.438210121643,22375.659469817758,29131.596576978427,36648.00546498171,44890.00438587137,52780.32484694053,59775.069794220544,65402.81760822886,69631.66457489226,72515.56747117307,74420.46740733179,75382.91450800704,75185.33709992874,74762.20981136562,74059.96348269528,73127.88162619097,71765.57186006279,69900.291195967,67725.59968422803,65211.22880518978,62325.26428896368,59034.13193197312,55302.58568158887,0.7094326125606578
E06000004,1049.1648428451956,2078.0428181943266,3964.973669065784,7323.671900493864,13074.849322298096,18310.429475784527,25377.394003602,34091.077031487774,44384.278931839974,55836.11804089978,68393.45220495258,80414.97594399094,91072.01937364652,99646.33594319651,106089.3165405999,110483.1695327973,113385.43491358157,114851.79882838506,114550.77346195355,113906.10637488928,112836.17854430291,111416.07882965716,109340.49190915926,106498.59093688622,103185.2768329013,99354.4350707712,94957.44208134011,89943.14199123812,84257.83789876025,0.6130533192458739
E06000005,570.3895628348787,1127.807227276709,2148.3507495157155,3962.6656329178936,7066.591559320952,9896.276691730574,13715.773964898515,18425.27673821678,23988.465340097093,30177.86509174406,36964.75415034513,43462.05254941675,49221.887445297885,53856.06645514214,57338.31787822001,59713.072915448945,61281.666425362506,62074.19522101532,61911.49939311363,61563.07481455286,60984.80865672486,60217.28437464407,59095.48748332241,57559.519286032504,55768.765312556396,53698.302229794666,51321.850064435224,48611.76068005056,45539.01229728987,0.21366682871232892
E06000006,1157.9671463635157,2092.518923617165,3626.0751422775925,6124.845095009855,10117.136266669644,14168.35538049482,19636.673984719022,26379.200638351245,34343.936789447216,43205.210361457895,52921.900627787305,62223.98812993405,70470.26007080155,77104.94665880829,82090.43550632088,85490.33758158013,87736.07001701306,88870.72225122454,88637.7928906458,88138.95861811601,87311.06309579528,86212.20989419208,84606.14966144676,82407.12623276237,79843.3299245403,76879.07789548916,73476.74580437674,69596.7504792576,65197.541341817945,0.3859328705410963
E06000007,2077.191074770088,3737.0750786326357,6442.833856349295,10825.785549060221,17793.479173044383,24918.546492376274,34535.93374250808,46394.329387050595,60402.281654152444,75987.01674037216,93076.21275154508,109436.2272224044,123939.33006203709,135608.06247391284,144376.27400033615,150355.8400141845,154305.51470261952,156301.08044046856,155891.41678462268,155014.09314564904,153558.0349692044,151625.43074206225,148800.77743999002,144933.25281786406,140424.18487612714,135210.81632555407,129226.97674117795,122403.04809464277,114665.95399259024,0.6998374282884618
E06000008,668.5674604822548,1280.6700334493428,2364.1812090343005,4242.795845394709,7397.560797110021,10359.77667058772,14358.16304685827,19288.23897226796,25111.984016765284,31591.26888313383,38696.02746272116,45497.63175732004,51527.23317120238,56378.457477613505,60023.80293345325,62509.7815696651,64151.84122351909,64981.48916362731,64811.17327497021,64446.4297628486,63841.08012304749,63037.608330764255,61863.27104312966,60255.36441489484,58380.73934028817,56213.30421028249,53725.54920739596,50888.530717711255,47671.86781365506,0.4743556029755109
E06000009,773.1885989080675,1480.0658690568716,2730.370619802698,4896.887152919559,8533.487132306773,11950.563643799998,16562.919004285373,22250.028681757714,28968.03382286398,36442.239813285174,44637.96340089902,52483.98315644652,59439.45493952528,65035.604511906204,69240.70808659084,72108.41887725414,74002.62348031343,74959.66748574773,74763.19846105961,74342.4473164713,73644.1436797536,72717.2954537928,71362.63450561056,69507.82647019278,67345.34488441925,64845.09135830702,61975.33119051824,58702.6765770685,54992.08157393949,0.8395645741395394
E06000010,1335.3838252083563,2682.8449028687564,5188.052355072466,9690.806300499204,17454.96972344312,24444.488166827174,33878.91064600361,45511.70862335251,59253.16935687892,74541.41473602016,91305.50036168082,107354.27663618674,121581.46760395626,133028.2105275777,141629.6121783618,147495.42161964945,151369.95574470703,153327.55719904692,152925.68734495123,152065.05470666935,150636.6967630774,148740.85860708376,145969.94279899774,142175.99477388005,137752.709471987,132638.52130874243,126768.52038654985,120074.41206294943,112484.51152086927,0.9998733222622282
