LAD22CD,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,LSOA_fraction
E06000001,1074.2050519757086,1018.7279423767262,1000.931931112898,989.9925784268618,983.1961939356336,983.4456977387973,982.9544911491231,981.7555762072421,972.2925867718084,964.0038546387759,957.9819120304858,957.8570831657532,954.80904978817,957.9990584224349,961.849915840317,969.8717470661029,976.5545065595597,984.1519799252656,987.050020296772,993.9610849508938,998.5926288676025,1000.2824184996215,998.741945489894,997.8933992369258,997.7462335287804,997.298371250736,998.0050865513215,998.2254787592258,994.7116255646304,1.5104432182678125
E06000002,507.45386445957,481.9688382474728,473.8935589383739,469.16654079339173,466.14230982294816,466.4005691307977,466.32477093349223,465.94039812631456,461.6707410484514,457.96658881437895,455.31132006423877,455.547159703723,454.5020526609853,456.8950507202024,460.03271895335894,465.27428444420997,469.8140038678991,474.7035421327255,477.2183136431881,482.0195723967768,485.42807332096226,487.30271430867714,487.4620525933966,487.7518459780522,488.5239453288829,488.98900619330703,489.91981874290065,490.5357099088791,489.1823895814903,0.44022545220388387
E06000003,524.3475092921171,495.34369369890896,486.00191443487046,480.6332300844427,477.0008317736978,476.88389418113877,476.3778256637971,475.64350861767866,470.94845431898295,466.67967424435835,463.52663817121834,463.3235124255707,461.8323249098134,463.6415087101967,465.6991214749601,470.03872887193467,473.6611080975204,477.63578944185747,479.2948124696615,482.98261050076434,485.55667997178153,486.76631847256584,486.4018204324402,486.2179173689752,486.5519687454894,486.655506659116,487.27443704289766,487.6202475932296,486.07727896369715,0.7094326125606578
E06000004,908.499290444507,865.044971135562,851.3574873775239,843.0829151038614,838.0272290016039,838.7743979981582,838.9588368877162,838.4829495491995,830.9838355492595,824.6424781504339,820.1663383090556,820.8333959115689,819.102498448855,823.4488068320711,829.3327367324036,838.8011390082293,847.0530060326706,855.9953004160667,860.6533521337853,869.4715854613847,875.6876565316857,879.0366741643556,879.2475286862709,879.7780123283729,881.0508802708865,881.8000730774919,883.403719427914,884.4473902824012,881.9608266527296,0.6130533192458739
E06000005,381.46830427920503,363.5619074067811,357.9586065232306,354.6303651191361,352.5899951542388,352.96338827161844,353.106324619304,352.97443212108493,349.89642550303637,347.31686970456195,345.5117407260696,345.89665692569105,345.3011702264108,347.404798075231,350.3098087748723,354.74443654901756,358.6482056627671,362.81992934170586,365.14286305228615,369.3455595074523,372.34428331762166,374.08738026540436,374.4492202680904,374.8891201845901,375.6859028423585,376.2078227928228,377.0643313265829,377.66022331342003,376.70868326426626,0.21366682871232892
E06000006,485.3759133933798,461.873299949147,454.45858590316107,450.0065288653472,447.098777738792,447.4473852166372,447.48974945264916,447.1900924197853,443.14845474396645,439.6682299143662,437.22163541285494,437.51677723822314,436.5354250140881,438.76575802555504,441.6748087624559,446.56970870473924,450.8169273866878,455.43222279700916,457.7795631743037,462.4058292885503,465.5931670383805,467.2797883783182,467.31838324193455,467.5332002379938,468.21234892520306,468.56061179299616,469.37107218660816,469.88939721020586,468.5406043282491,0.3859328705410963
E06000007,1004.850682100489,956.9440325491562,941.7986582549016,932.3373483260729,926.462703754909,927.2473747997049,927.4144410684362,926.7842174930519,918.3463549531021,911.170399192406,906.125628076536,906.6595269099018,904.4025741975025,908.3733096572381,913.5606975676518,922.6235567553715,930.4234338906075,939.0886529478473,943.1559792440187,951.6138239008458,957.3312717322067,959.9782089473201,959.323571763583,959.2356363170147,959.8969576363637,960.0415981721006,961.2175281810087,961.8517641077128,958.7812154080569,0.6998374282884618
E06000008,582.4983031438973,553.4554148917555,544.1683266036257,538.2991681826342,534.6792443080452,534.9391112400662,534.8149531577377,534.2494526745561,529.1650651116197,524.781022577594,521.629726749862,521.6476570723283,520.0142844725464,521.6769044447192,523.785099178376,528.0179357708794,531.5525034929206,535.6269139601851,537.1447870385766,541.0496800417967,543.5037348806541,544.316218669374,543.3635148654384,542.8421201797112,542.7660762597579,542.4259172932195,542.7277245215009,542.771932307162,540.8083664146516,0.4743556029755109
E06000009,493.0169451622457,468.92871811075014,461.2976358415378,456.6372128904892,453.6142207138708,453.9259790257346,453.922061057722,453.5602087262678,449.3914907608069,445.7975946737736,443.24979604611815,443.4571684959306,442.33523037002215,444.3224797170104,446.955074366654,451.4884432121495,455.38430269101497,459.6809143266031,461.71685841889143,466.1279306914206,469.012394713306,470.41530711669316,470.1959009079847,470.21549074804796,470.78499538417265,470.94619178240737,471.5988133113719,471.9796957731732,470.5230512370411,0.8395645741395394
E06000010,1054.487555989456,1002.918788633266,986.5816178714998,976.641686159267,970.3914189582488,971.0678495802966,971.0702777195025,970.3219471541007,961.4341141411002,953.8076049695113,948.388348987587,948.8763685397579,946.5412511253495,950.9465076208511,956.6246535770912,966.5396594252799,975.0788240480935,984.4599025689879,988.9827117446216,998.051553107344,1004.3504405848471,1007.4620373225154,1007.0955685129138,1007.2073755956902,1008.0963629562423,1008.5045217329953,1009.9576937331086,1010.8183747611213,1007.7261006466426,0.9998733222622282
